Year,City,CityNormalized,DEI
2018,扬州,扬州,56.3
2018,抚顺,抚顺,34.6
2018,拉萨,拉萨,43.7
2018,无锡,无锡,75.9
2018,昆明,昆明,60
2018,杭州,杭州,85.9
2018,柳州,柳州,51.8
2018,株洲,株洲,44.2
2018,桂林,桂林,48.5
2018,武汉,武汉,80.9
2018,汕头,汕头,49.3
2018,江门,江门,57
2018,沈阳,沈阳,63.3
2018,沧州,沧州,50.2
2018,泉州,泉州,61.3
2018,泰安,泰安,37.2
2018,泰州,泰州,56.5
2018,洛阳,洛阳,52.1
2018,济南,济南,65.4
2018,济宁,济宁,47.5
2018,海口,海口,52.1
2018,淄博,淄博,53.7
2018,深圳,深圳,88.3
2018,温州,温州,59.1
2018,湖州,湖州,51.1
2018,湛江,湛江,49.8
2018,滨州,滨州,52.3
2018,潍坊,潍坊,56.3
2018,烟台,烟台,57.2
2018,牡丹江,牡丹江,45
2018,珠海,珠海,59.5
2018,盐城,盐城,55.3
2018,石家庄,石家庄,64.4
2018,福州,福州,70.2
2018,秦皇岛,秦皇岛,49.5
2018,绍兴,绍兴,57.6
2018,绵阳,绵阳,64.4
2018,芜湖,芜湖,44.3
2018,苏州,苏州,70.6
2018,茂名,茂名,41.1
2018,衡阳,衡阳,41.9
2018,襄阳,襄阳,46.3
2018,西宁,西宁,53.1
2018,西安,西安,67.2
2018,许昌,许昌,48.8
2018,贵阳,贵阳,73.8
2018,赣州,赣州,45
2018,邯郸,邯郸,54.8
2018,郑州,郑州,68.9
2018,鄂尔多斯,鄂尔多斯,41.8
2018,重庆,重庆,70.1
2018,金华,金华,62.2
2018,银川,银川,54.6
2018,镇江,镇江,58.6
2018,长春,长春,53.7
2018,长沙,长沙,71.9
2018,青岛,青岛,73.5
2018,鞍山,鞍山,37.5
2018,齐齐哈尔,齐齐哈尔,47
2019,上海,上海,89.8
2019,东莞,东莞,66.6
2019,东营,东营,54
2019,中山,中山,57.3
2019,临沂,临沂,49.4
2019,乌鲁木齐,乌鲁木齐,57
2019,九江,九江,43.4
2019,佛山,佛山,70.3
2019,保定,保定,35
2019,兰州,兰州,59.5
2019,包头,包头,53.8
2019,北京,北京,89.4
2019,南京,南京,71.8
2019,南宁,南宁,56.1
2019,南昌,南昌,57.6
2019,南通,南通,63.1
2019,南阳,南阳,46.8
2019,厦门,厦门,68.6
2019,台州,台州,58.7
2019,合肥,合肥,70.3
2019,吉林,吉林,39
2019,周口,周口,48.9
2019,呼和浩特,呼和浩特,60.4
2019,咸阳,咸阳,56.7
2019,哈尔滨,哈尔滨,55.1
2019,唐山,唐山,52.4
2019,嘉兴,嘉兴,60.8
2019,大庆,大庆,48.5
2019,大连,大连,70
2019,天津,天津,73
2019,太原,太原,57.8
2019,威海,威海,52.8
2019,宁波,宁波,76.7
2019,宜昌,宜昌,54.2
2019,宝鸡,宝鸡,45.9
2019,宿迁,宿迁,51.4
2019,岳阳,岳阳,47.6
2019,常州,常州,61.3
2019,常德,常德,47.7
2019,平顶山,平顶山,44.4
2019,广州,广州,86.2
2019,廊坊,廊坊,51.2
2019,开封,开封,52.1
2019,徐州,徐州,55.2
2019,德州,德州,47.4
2019,惠州,惠州,58.7
2019,成都,成都,87
2019,扬州,扬州,58.6
2019,抚顺,抚顺,39.4
2019,拉萨,拉萨,48.1
2019,无锡,无锡,76.4
2019,昆明,昆明,60.9
2019,杭州,杭州,86.9
2019,柳州,柳州,47.8
2019,株洲,株洲,44.8
2019,桂林,桂林,48
2019,榆林,榆林,48.7
2019,武汉,武汉,78
2019,汕头,汕头,50.8
2019,江门,江门,56.4
2019,沈阳,沈阳,62.2
2019,沧州,沧州,50.7
2019,泉州,泉州,61.8
2019,泰安,泰安,45.4
2019,泰州,泰州,58.5
2019,洛阳,洛阳,51
2019,济南,济南,63.7
2019,济宁,济宁,50.8
2019,海口,海口,55
2019,淄博,淄博,56.2
2019,淮安,淮安,41.7
2019,深圳,深圳,89.2
2019,温州,温州,61.4
2019,湖州,湖州,53.9
2019,湛江,湛江,51.9
2019,滨州,滨州,55.2
2019,漳州,漳州,56
2019,潍坊,潍坊,58.1
2019,烟台,烟台,62.4
2019,牡丹江,牡丹江,45.2
2019,珠海,珠海,62.5
2019,盐城,盐城,57
2019,石家庄,石家庄,64.1
2019,福州,福州,71.5
2019,秦皇岛,秦皇岛,47.9
2019,绍兴,绍兴,59
2019,绵阳,绵阳,62.7
2019,聊城,聊城,35.4
2019,芜湖,芜湖,50.5
2019,苏州,苏州,72.5
2019,茂名,茂名,45.3
2019,菏泽,菏泽,49.2
2019,衡阳,衡阳,45.9
2019,襄阳,襄阳,47.7
2019,西宁,西宁,54.4
2019,西安,西安,62.8
2019,许昌,许昌,47.7
2019,贵阳,贵阳,73.2
2019,赣州,赣州,45.1
2019,连云港,连云港,54
2019,遵义,遵义,51.3
2019,邯郸,邯郸,52.8
2019,郑州,郑州,71.9
2019,鄂尔多斯,鄂尔多斯,45.8
2019,重庆,重庆,75.4
2019,金华,金华,62.5
2019,银川,银川,56.4
2019,镇江,镇江,61.4
2019,长春,长春,56.2
2019,长沙,长沙,68.1
2019,青岛,青岛,71.3
2019,鞍山,鞍山,44.7
2019,齐齐哈尔,齐齐哈尔,46.6
2020,三门峡,三门峡,39.8
2020,上海,上海,90.5
2020,上饶,上饶,43.1
2020,东莞,东莞,71.1
2020,东营,东营,58.7
2020,中山,中山,62
2020,临汾,临汾,38
2020,临沂,临沂,57.2
2020,丽水,丽水,41.6
2020,乌鲁木齐,乌鲁木齐,61.8
2020,乐山,乐山,40.6
2020,九江,九江,49.8
2020,亳州,亳州,39.7
2020,伊犁,伊犁,32.5
2020,佛山,佛山,72.4
2020,保定,保定,48.7
2020,信阳,信阳,45.3
2020,克拉玛依,克拉玛依,45.2
2020,六安,六安,39.8
2020,六盘水,六盘水,36.8
2020,兰州,兰州,64.4
2020,内江,内江,37.1
2020,凉山,凉山,36.3
2020,包头,包头,58.2
2020,北京,北京,89.4
2020,北海,北海,50.7
2020,十堰,十堰,43.3
2020,南京,南京,76.1
2020,南充,南充,44.7
2020,南宁,南宁,61.5
2020,南昌,南昌,64.4
2020,南通,南通,68.1
2020,南阳,南阳,51.7
2020,厦门,厦门,70.8
2020,台州,台州,63.7
2020,合肥,合肥,72.1
2020,吉安,吉安,43.1
2020,吉林,吉林,41.1
2020,吕梁,吕梁,38.2
2020,周口,周口,54.1
2020,呼伦贝尔,呼伦贝尔,38.8
2020,呼和浩特,呼和浩特,64.6
2020,咸宁,咸宁,40
2020,咸阳,咸阳,61.5
2020,哈尔滨,哈尔滨,63
2020,唐山,唐山,56.9
2020,商丘,商丘,45.3
2020,喀什,喀什,36.3
2020,嘉兴,嘉兴,64.7
2020,大同,大同,40.1
2020,大庆,大庆,54
2020,大理,大理,37.8
2020,大连,大连,70.3
2020,天水,天水,32.3
2020,天津,天津,73.5
2020,太原,太原,64.5
2020,威海,威海,57.8
2020,娄底,娄底,40.3
2020,孝感,孝感,44.3
2020,宁波,宁波,78.2
2020,安庆,安庆,45.3
2020,安康,安康,35.2
2020,安阳,安阳,44.4
2020,宜宾,宜宾,45.8
2020,宜昌,宜昌,58.8
2020,宜春,宜春,44.6
2020,宝鸡,宝鸡,50.3
2020,宣城,宣城,39.3
2020,宿州,宿州,42.9
2020,宿迁,宿迁,56
2020,岳阳,岳阳,52.3
2020,常州,常州,64.9
2020,常德,常德,52.6
2020,平顶山,平顶山,49
2020,广元,广元,34.8
2020,广安,广安,36.3
2020,广州,广州,86.6
2020,廊坊,廊坊,55.6
2020,延安,延安,43.2
2020,开封,开封,57.1
2020,张家口,张家口,48.7
2020,徐州,徐州,60
2020,德州,德州,52.3
2020,德阳,德阳,48.4
2020,怀化,怀化,39
2020,惠州,惠州,63.7
2020,成都,成都,89.2
2020,扬州,扬州,64.2
2020,承德,承德,44.4
2020,抚州,抚州,38.1
2020,抚顺,抚顺,36.7
2020,拉萨,拉萨,53.7
2020,攀枝花,攀枝花,40.5
2020,新乡,新乡,47.1
2020,无锡,无锡,80.6
2020,昆明,昆明,64.5
2020,昌吉,昌吉,42.9
2020,昭通,昭通,33.6
2020,晋中,晋中,39.4
2020,晋城,晋城,40.5
2020,曲靖,曲靖,45.2
2020,杭州,杭州,89.1
2020,柳州,柳州,53.6
2020,株洲,株洲,49.5
2020,桂林,桂林,52.8
2020,榆林,榆林,54
2020,武汉,武汉,77
2020,毕节,毕节,37.7
2020,永州,永州,41.1
2020,汉中,汉中,41.1
2020,汕头,汕头,55.5
2020,江门,江门,61
2020,池州,池州,38.5
2020,沈阳,沈阳,68.4
2020,沧州,沧州,55
2020,泉州,泉州,66
2020,泰安,泰安,49.9
2020,泰州,泰州,63.6
2020,泸州,泸州,43.4
2020,洛阳,洛阳,57.2
2020,济南,济南,68.3
2020,济宁,济宁,55.2
2020,海东,海东,33.9
2020,海口,海口,60.5
2020,淄博,淄博,60.9
2020,淮北,淮北,38
2020,淮南,淮南,39
2020,淮安,淮安,46.1
2020,深圳,深圳,90.2
2020,温州,温州,66
2020,渭南,渭南,38.1
2020,湖州,湖州,58.4
2020,湘潭,湘潭,47.1
2020,湛江,湛江,56.3
2020,滁州,滁州,48.2
2020,滨州,滨州,60.2
2020,漯河,漯河,39.9
2020,漳州,漳州,60.7
2020,潍坊,潍坊,63.2
2020,濮阳,濮阳,39.5
2020,烟台,烟台,66.4
2020,焦作,焦作,52.5
2020,牡丹江,牡丹江,49.5
2020,玉林,玉林,37.4
2020,玉溪,玉溪,48.1
2020,珠海,珠海,66.7
2020,甘南,甘南,32.7
2020,百色,百色,35.3
2020,益阳,益阳,41
2020,盐城,盐城,62
2020,眉山,眉山,36.7
2020,石嘴山,石嘴山,39.2
2020,石家庄,石家庄,69.1
2020,福州,福州,72
2020,秦皇岛,秦皇岛,52.8
2020,红河,红河,43.3
2020,绍兴,绍兴,64
2020,绵阳,绵阳,67.1
2020,聊城,聊城,38.2
2020,肇庆,肇庆,49.3
2020,自贡,自贡,37.1
2020,舟山,舟山,35.8
2020,芜湖,芜湖,60.7
2020,苏州,苏州,75.2
2020,茂名,茂名,49.6
2020,荆州,荆州,43.1
2020,荆门,荆门,45.1
2020,菏泽,菏泽,54.9
2020,蚌埠,蚌埠,48.1
2020,衡水,衡水,49.5
2020,衡阳,衡阳,50.7
2020,衢州,衢州,36.5
2020,襄阳,襄阳,52.5
2020,西宁,西宁,59.1
2020,西安,西安,68.6
2020,许昌,许昌,52.6
2020,贵港,贵港,34.8
2020,贵阳,贵阳,70.4
2020,资阳,资阳,35.9
2020,赣州,赣州,52
2020,赤峰,赤峰,38.5
2020,达州,达州,39.1
2020,运城,运城,38.7
2020,连云港,连云港,60.8
2020,通辽,通辽,36.8
2020,遂宁,遂宁,36.1
2020,遵义,遵义,55.7
2020,邢台,邢台,52.5
2020,邯郸,邯郸,57.3
2020,邵阳,邵阳,42.1
2020,郑州,郑州,73.1
2020,郴州,郴州,44.5
2020,鄂尔多斯,鄂尔多斯,50.3
2020,酒泉,酒泉,39.1
2020,重庆,重庆,77.3
2020,金华,金华,67
2020,金昌,金昌,34.2
2020,钦州,钦州,38.7
2020,铜仁,铜仁,36.8
2020,铜陵,铜陵,58.5
2020,银川,银川,61.1
2020,镇江,镇江,65.6
2020,长春,长春,60.3
2020,长沙,长沙,69.6
2020,长治,长治,42.6
2020,阜阳,阜阳,47.4
2020,阿克苏,阿克苏,36.2
2020,雅安,雅安,35.7
2020,青岛,青岛,71.6
2020,鞍山,鞍山,48.9
2020,马鞍山,马鞍山,51.2
2020,驻马店,驻马店,43.8
2020,鹤壁,鹤壁,40
2020,黄冈,黄冈,42.1
2020,黄山,黄山,42.9
2020,黄石,黄石,42.8
2020,黔东南,黔东南,34.4
2020,黔南,黔南,40.2
2020,黔西南州,黔西南州,37.6
2020,齐齐哈尔,齐齐哈尔,51.4
2021,三亚,三亚,42.6
2021,三明,三明,51
2021,三门峡,三门峡,42.4
2021,上海,上海,91.6
2021,上饶,上饶,45.8
2021,东莞,东莞,73.1
2021,东营,东营,61.4
2021,中山,中山,64.5
2021,临汾,临汾,41
2021,临沂,临沂,63.7
2021,丽水,丽水,44
2021,乌兰察布,乌兰察布,46.5
2021,乌鲁木齐,乌鲁木齐,64
2021,乐山,乐山,42.9
2021,九江,九江,52.3
2021,亳州,亳州,41.9
2021,伊犁,伊犁,49.6
2021,佛山,佛山,72.7
2021,保定,保定,51.1
2021,信阳,信阳,47.8
2021,克拉玛依,克拉玛依,47.9
2021,六安,六安,42.2
2021,六盘水,六盘水,39.5
2021,兰州,兰州,66.5
2021,内江,内江,39.5
2021,凉山,凉山,39
2021,包头,包头,60.6
2021,北京,北京,90.5
2021,北海,北海,53.2
2021,十堰,十堰,46
2021,南京,南京,80.6
2021,南充,南充,46.9
2021,南宁,南宁,66
2021,南平,南平,49.1
2021,南昌,南昌,69.7
2021,南通,南通,70.2
2021,南阳,南阳,53.8
2021,厦门,厦门,72.6
2021,台州,台州,66.4
2021,合肥,合肥,74.7
2021,吉安,吉安,45.4
2021,吉林,吉林,43.4
2021,吕梁,吕梁,40.5
2021,周口,周口,56.7
2021,呼伦贝尔,呼伦贝尔,41.3
2021,呼和浩特,呼和浩特,69.9
2021,咸宁,咸宁,42.3
2021,咸阳,咸阳,63.8
2021,哈尔滨,哈尔滨,65.1
2021,唐山,唐山,59.3
2021,商丘,商丘,47.4
2021,喀什,喀什,38.5
2021,嘉兴,嘉兴,67.4
2021,大同,大同,42.2
2021,大庆,大庆,56.6
2021,大理,大理,40.4
2021,大连,大连,67
2021,天水,天水,40.7
2021,天津,天津,78.5
2021,太原,太原,66.6
2021,威海,威海,66.1
2021,娄底,娄底,42.8
2021,孝感,孝感,47.1
2021,宁德,宁德,49.9
2021,宁波,宁波,78.3
2021,安庆,安庆,47.7
2021,安康,安康,37.5
2021,安阳,安阳,46.7
2021,宜宾,宜宾,48.2
2021,宜昌,宜昌,61.5
2021,宜春,宜春,46.8
2021,宝鸡,宝鸡,52.7
2021,宣城,宣城,41.8
2021,宿州,宿州,44.9
2021,宿迁,宿迁,58.3
2021,岳阳,岳阳,54.6
2021,巴音郭楞,巴音郭楞,39.6
2021,常州,常州,67.8
2021,常德,常德,55.3
2021,平顶山,平顶山,51.6
2021,广元,广元,39.3
2021,广安,广安,39.2
2021,广州,广州,88.6
2021,廊坊,廊坊,58
2021,延安,延安,45.7
2021,开封,开封,59.5
2021,张家口,张家口,50.9
2021,徐州,徐州,62.1
2021,德州,德州,59.7
2021,德阳,德阳,50.7
2021,怀化,怀化,41.7
2021,惠州,惠州,66.3
2021,成都,成都,90.1
2021,扬州,扬州,66.6
2021,承德,承德,46.8
2021,抚州,抚州,40.4
2021,抚顺,抚顺,38.8
2021,拉萨,拉萨,56.2
2021,揭阳,揭阳,52.6
2021,攀枝花,攀枝花,43
2021,新乡,新乡,49.3
2021,无锡,无锡,82.2
2021,日照,日照,49.5
2021,昆明,昆明,66.7
2021,昌吉,昌吉,45.2
2021,昭通,昭通,36.4
2021,晋中,晋中,41.8
2021,晋城,晋城,43.1
2021,曲靖,曲靖,47.5
2021,朔州,朔州,38.9
2021,杭州,杭州,90
2021,枣庄,枣庄,48.7
2021,柳州,柳州,61.2
2021,株洲,株洲,51.7
2021,桂林,桂林,55.6
2021,楚雄,楚雄,38.6
2021,榆林,榆林,56.5
2021,武汉,武汉,74.3
2021,毕节,毕节,40.5
2021,永州,永州,43.7
2021,汉中,汉中,43.6
2021,汕头,汕头,58.2
2021,江门,江门,63.4
2021,池州,池州,41.1
2021,沈阳,沈阳,67.1
2021,沧州,沧州,57.5
2021,泉州,泉州,68.2
2021,泰安,泰安,52.2
2021,泰州,泰州,65.4
2021,泸州,泸州,46.2
2021,洛阳,洛阳,60.3
2021,济南,济南,74.5
2021,济宁,济宁,57.6
2021,海东,海东,36.5
2021,海口,海口,62.8
2021,海西,海西,37.8
2021,淄博,淄博,65.8
2021,淮北,淮北,40.3
2021,淮南,淮南,41.7
2021,淮安,淮安,48.9
2021,深圳,深圳,91.2
2021,清远,清远,47
2021,温州,温州,68.6
2021,渭南,渭南,40.8
2021,湖州,湖州,60.7
2021,湘潭,湘潭,49.4
2021,湛江,湛江,58.6
2021,滁州,滁州,50.7
2021,滨州,滨州,62.3
2021,漯河,漯河,42.4
2021,漳州,漳州,62.9
2021,潍坊,潍坊,69.5
2021,潮州,潮州,40.2
2021,濮阳,濮阳,41.9
2021,烟台,烟台,72.9
2021,焦作,焦作,54.7
2021,牡丹江,牡丹江,52
2021,玉林,玉林,40
2021,玉溪,玉溪,50.2
2021,珠海,珠海,69.4
2021,甘南,甘南,35.1
2021,百色,百色,37.4
2021,益阳,益阳,43.5
2021,盐城,盐城,64.7
2021,盘锦,盘锦,41
2021,眉山,眉山,39.4
2021,石嘴山,石嘴山,41.6
2021,石家庄,石家庄,66.4
2021,福州,福州,73.6
2021,秦皇岛,秦皇岛,55.8
2021,红河,红河,45.6
2021,绍兴,绍兴,65.7
2021,绵阳,绵阳,69.2
2021,聊城,聊城,40.4
2021,肇庆,肇庆,51.9
2021,自贡,自贡,39.6
2021,舟山,舟山,38.1
2021,芜湖,芜湖,63.5
2021,苏州,苏州,78.8
2021,茂名,茂名,52.1
2021,荆州,荆州,45.3
2021,荆门,荆门,47.6
2021,莆田,莆田,50.8
2021,菏泽,菏泽,57.4
2021,营口,营口,40.5
2021,蚌埠,蚌埠,50.5
2021,衡水,衡水,52
2021,衡阳,衡阳,52.9
2021,衢州,衢州,38.8
2021,襄阳,襄阳,59
2021,西宁,西宁,61.8
2021,西安,西安,71.8
2021,许昌,许昌,54.9
2021,贵港,贵港,37.6
2021,贵阳,贵阳,71
2021,资阳,资阳,38.2
2021,赣州,赣州,54.5
2021,赤峰,赤峰,40.6
2021,达州,达州,41.7
2021,运城,运城,41.4
2021,连云港,连云港,67.3
2021,通辽,通辽,39
2021,遂宁,遂宁,38.8
2021,遵义,遵义,58.1
2021,邢台,邢台,49.7
2021,邯郸,邯郸,59.8
2021,邵阳,邵阳,44.2
2021,郑州,郑州,75.7
2021,郴州,郴州,46.6
2021,鄂尔多斯,鄂尔多斯,53
2021,鄂州,鄂州,40.9
2021,酒泉,酒泉,42
2021,重庆,重庆,79.5
2021,金华,金华,69.3
2021,金昌,金昌,37.1
2021,钦州,钦州,41.2
2021,铜仁,铜仁,39.1
2021,铜陵,铜陵,61
2021,银川,银川,63.3
2021,镇江,镇江,67.2
2021,长春,长春,62.7
2021,长沙,长沙,72.4
2021,长治,长治,44.8
2021,阜阳,阜阳,49.8
2021,阳江,阳江,41.8
2021,阿克苏,阿克苏,38.7
2021,随州,随州,40.1
2021,雅安,雅安,38
2021,青岛,青岛,73.9
2021,鞍山,鞍山,51.2
2021,韶关,韶关,42.4
2021,马鞍山,马鞍山,53.7
2021,驻马店,驻马店,46.4
2021,鹤壁,鹤壁,42.1
2021,黄冈,黄冈,44.3
2021,黄山,黄山,45.1
2021,黄石,黄石,45
2021,黔东南,黔东南,37.2
2021,黔南,黔南,42.5
2021,黔西南州,黔西南州,39.8
2021,齐齐哈尔,齐齐哈尔,53.6
2021,龙岩,龙岩,51.6
2022,三亚,三亚,43.3
2022,三明,三明,53.1
2022,三门峡,三门峡,43.8
2022,上海,上海,92.3
2022,上饶,上饶,48.8
2022,东莞,东莞,72.9
2022,东营,东营,59.5
2022,中山,中山,65
2022,临汾,临汾,40
2022,临沂,临沂,62.2
2022,丽水,丽水,45.1
2022,乌兰察布,乌兰察布,48.2
2022,乌鲁木齐,乌鲁木齐,67.4
2022,乐山,乐山,40.5
2022,九江,九江,53
2022,亳州,亳州,41.1
2022,伊犁,伊犁,51.3
2022,佛山,佛山,72.8
2022,保定,保定,52.6
2022,信阳,信阳,53
2022,克拉玛依,克拉玛依,45.5
2022,六安,六安,43.2
2022,六盘水,六盘水,38.8
2022,兰州,兰州,67.2
2022,内江,内江,39.5
2022,凉山,凉山,38.1
2022,包头,包头,60.7
2022,北京,北京,92.5
2022,北海,北海,54.5
2022,十堰,十堰,46.5
2022,南京,南京,82.5
2022,南充,南充,51.2
2022,南宁,南宁,70.5
2022,南平,南平,53.8
2022,南昌,南昌,69.9
2022,南通,南通,73.2
2022,南阳,南阳,53.7
2022,厦门,厦门,75.5
2022,台州,台州,65.9
2022,合肥,合肥,77
2022,吉安,吉安,49.6
2022,吉林,吉林,45
2022,吕梁,吕梁,37.9
2022,周口,周口,59.2
2022,呼伦贝尔,呼伦贝尔,43.1
2022,呼和浩特,呼和浩特,71.7
2022,咸宁,咸宁,40.4
2022,咸阳,咸阳,65.3
2022,哈尔滨,哈尔滨,62.7
2022,唐山,唐山,61
2022,商丘,商丘,51.7
2022,喀什,喀什,38.5
2022,嘉兴,嘉兴,67
2022,大同,大同,43.1
2022,大庆,大庆,57.4
2022,大理,大理,40.3
2022,大连,大连,65
2022,天水,天水,42.2
2022,天津,天津,75.4
2022,太原,太原,65.5
2022,威海,威海,69.1
2022,娄底,娄底,40.7
2022,孝感,孝感,46.6
2022,宁德,宁德,52.7
2022,宁波,宁波,80
2022,安庆,安庆,51.5
2022,安康,安康,38.3
2022,安阳,安阳,47
2022,宜宾,宜宾,52.8
2022,宜昌,宜昌,63.2
2022,宜春,宜春,46.7
2022,宝鸡,宝鸡,52.9
2022,宣城,宣城,40
2022,宿州,宿州,46.9
2022,宿迁,宿迁,59.7
2022,岳阳,岳阳,53.4
2022,巴音郭楞,巴音郭楞,38.2
2022,常州,常州,69.8
2022,常德,常德,56.4
2022,平顶山,平顶山,53
2022,广元,广元,38.7
2022,广安,广安,39.8
2022,广州,广州,86.7
2022,廊坊,廊坊,60.6
2022,延安,延安,46.1
2022,开封,开封,59.9
2022,张家口,张家口,53
2022,徐州,徐州,64.6
2022,德州,德州,59.2
2022,德阳,德阳,54.4
2022,怀化,怀化,40.8
2022,惠州,惠州,66.9
2022,成都,成都,88
2022,扬州,扬州,70.7
2022,承德,承德,47.7
2022,抚州,抚州,40.1
2022,抚顺,抚顺,39
2022,拉萨,拉萨,54.6
2022,揭阳,揭阳,53.1
2022,攀枝花,攀枝花,41.2
2022,新乡,新乡,52.3
2022,无锡,无锡,80.1
2022,日照,日照,50.9
2022,昆明,昆明,69.7
2022,昌吉,昌吉,45.4
2022,昭通,昭通,35.9
2022,晋中,晋中,43.8
2022,晋城,晋城,44.1
2022,曲靖,曲靖,48.6
2022,朔州,朔州,39.4
2022,杭州,杭州,91.9
2022,枣庄,枣庄,49
2022,柳州,柳州,63.3
2022,株洲,株洲,52.1
2022,桂林,桂林,54.8
2022,楚雄,楚雄,37.3
2022,榆林,榆林,60.4
2022,武汉,武汉,77.2
2022,毕节,毕节,41.1
2022,永州,永州,45.8
2022,汉中,汉中,46.8
2022,汕头,汕头,61.3
2022,江门,江门,63.5
2022,池州,池州,43.3
2022,沈阳,沈阳,69.2
2022,沧州,沧州,61.1
2022,泉州,泉州,70.3
2022,泰安,泰安,51.9
2022,泰州,泰州,65.1
2022,泸州,泸州,51.4
2022,洛阳,洛阳,61.8
2022,济南,济南,76.2
2022,济宁,济宁,61
2022,海东,海东,36.7
2022,海口,海口,62.4
2022,海西,海西,36.9
2022,淄博,淄博,67.5
2022,淮北,淮北,39
2022,淮南,淮南,38.5
2022,淮安,淮安,65.7
2022,深圳,深圳,91.6
2022,清远,清远,45.3
2022,温州,温州,71.4
2022,渭南,渭南,40.7
2022,湖州,湖州,60.9
2022,湘潭,湘潭,51.2
2022,湛江,湛江,59.5
2022,滁州,滁州,53.1
2022,滨州,滨州,60.8
2022,漯河,漯河,43.4
2022,漳州,漳州,61.4
2022,潍坊,潍坊,70.6
2022,潮州,潮州,42.5
2022,濮阳,濮阳,40.3
2022,烟台,烟台,72.6
2022,焦作,焦作,54.8
2022,牡丹江,牡丹江,50.4
2022,玉林,玉林,42.6
2022,玉溪,玉溪,52.8
2022,珠海,珠海,69.3
2022,甘南,甘南,35.7
2022,百色,百色,39
2022,益阳,益阳,48.1
2022,盐城,盐城,59.8
2022,盘锦,盘锦,43.1
2022,眉山,眉山,40.1
2022,石嘴山,石嘴山,40.2
2022,石家庄,石家庄,65.3
2022,福州,福州,75.1
2022,秦皇岛,秦皇岛,54.7
2022,红河,红河,47
2022,绍兴,绍兴,68.5
2022,绵阳,绵阳,64.7
2022,聊城,聊城,44.3
2022,肇庆,肇庆,54
2022,自贡,自贡,41.5
2022,舟山,舟山,39
2022,芜湖,芜湖,65
2022,苏州,苏州,80.4
2022,茂名,茂名,53.8
2022,荆州,荆州,47.1
2022,荆门,荆门,46.4
2022,莆田,莆田,52
2022,菏泽,菏泽,59.9
2022,营口,营口,42.7
2022,蚌埠,蚌埠,51
2022,衡水,衡水,51.9
2022,衡阳,衡阳,53.6
2022,衢州,衢州,40.9
2022,襄阳,襄阳,61
2022,西宁,西宁,59.6
2022,西安,西安,71.5
2022,许昌,许昌,53.2
2022,贵港,贵港,38
2022,贵阳,贵阳,69.4
2022,资阳,资阳,37.7
2022,赣州,赣州,53.9
2022,赤峰,赤峰,45.4
2022,达州,达州,44.6
2022,运城,运城,40.7
2022,连云港,连云港,65.1
2022,通辽,通辽,41.4
2022,遂宁,遂宁,38.1
2022,遵义,遵义,61.1
2022,邢台,邢台,52.9
2022,邯郸,邯郸,59.5
2022,邵阳,邵阳,45.2
